nombre,nodos,aristas,densidad,grado_promedio,grado_max,grado_min,componentes,clustering,cota_superior,chi_teorico,metodo,colores,tiempo,valido
ScaleFree_n100_m3,100,291,0.058787878787878785,5.82,28,3,1,0.14943604380369085,29,,Random,6,0.00012063980102539062,True
ScaleFree_n100_m3,100,291,0.058787878787878785,5.82,28,3,1,0.14943604380369085,29,,Random,7,0.00012969970703125,True
ScaleFree_n100_m3,100,291,0.058787878787878785,5.82,28,3,1,0.14943604380369085,29,,Random,6,0.00012063980102539062,True
ScaleFree_n100_m3,100,291,0.058787878787878785,5.82,28,3,1,0.14943604380369085,29,,Greedy Natural,4,0.00010275840759277344,True
ScaleFree_n100_m3,100,291,0.058787878787878785,5.82,28,3,1,0.14943604380369085,29,,Largest Degree First,5,0.00010228157043457031,True
ScaleFree_n100_m3,100,291,0.058787878787878785,5.82,28,3,1,0.14943604380369085,29,,Welsh-Powell,5,9.393692016601562e-05,True
ScaleFree_n100_m3,100,291,0.058787878787878785,5.82,28,3,1,0.14943604380369085,29,,DSATUR,4,0.0064580440521240234,True
ScaleFree_n100_m3,100,291,0.058787878787878785,5.82,28,3,1,0.14943604380369085,29,,GNN-guided,4,0.0037910938262939453,True
SmallWorld_n100_k6_p0.3,100,300,0.06060606060606061,6.0,9,4,1,0.25024603174603177,10,,Random,6,0.000148773193359375,True
SmallWorld_n100_k6_p0.3,100,300,0.06060606060606061,6.0,9,4,1,0.25024603174603177,10,,Random,6,0.00010657310485839844,True
SmallWorld_n100_k6_p0.3,100,300,0.06060606060606061,6.0,9,4,1,0.25024603174603177,10,,Random,5,0.00010585784912109375,True
SmallWorld_n100_k6_p0.3,100,300,0.06060606060606061,6.0,9,4,1,0.25024603174603177,10,,Greedy Natural,6,0.00014734268188476562,True
SmallWorld_n100_k6_p0.3,100,300,0.06060606060606061,6.0,9,4,1,0.25024603174603177,10,,Largest Degree First,5,0.00011777877807617188,True
SmallWorld_n100_k6_p0.3,100,300,0.06060606060606061,6.0,9,4,1,0.25024603174603177,10,,Welsh-Powell,5,0.00010418891906738281,True
SmallWorld_n100_k6_p0.3,100,300,0.06060606060606061,6.0,9,4,1,0.25024603174603177,10,,DSATUR,5,0.009299755096435547,True
SmallWorld_n100_k6_p0.3,100,300,0.06060606060606061,6.0,9,4,1,0.25024603174603177,10,,GNN-guided,5,0.002554655075073242,True
RandomRegular_n100_d5,100,250,0.050505050505050504,5.0,5,5,1,0.03900000000000001,6,,Random,5,9.322166442871094e-05,True
RandomRegular_n100_d5,100,250,0.050505050505050504,5.0,5,5,1,0.03900000000000001,6,,Random,5,8.988380432128906e-05,True
RandomRegular_n100_d5,100,250,0.050505050505050504,5.0,5,5,1,0.03900000000000001,6,,Random,5,8.96453857421875e-05,True
RandomRegular_n100_d5,100,250,0.050505050505050504,5.0,5,5,1,0.03900000000000001,6,,Greedy Natural,5,8.702278137207031e-05,True
RandomRegular_n100_d5,100,250,0.050505050505050504,5.0,5,5,1,0.03900000000000001,6,,Largest Degree First,5,8.559226989746094e-05,True
RandomRegular_n100_d5,100,250,0.050505050505050504,5.0,5,5,1,0.03900000000000001,6,,Welsh-Powell,5,8.535385131835938e-05,True
RandomRegular_n100_d5,100,250,0.050505050505050504,5.0,5,5,1,0.03900000000000001,6,,DSATUR,5,0.008722305297851562,True
RandomRegular_n100_d5,100,250,0.050505050505050504,5.0,5,5,1,0.03900000000000001,6,,GNN-guided,5,0.0021424293518066406,True
Geometric_n100_r0.15,100,327,0.06606060606060606,6.54,15,0,2,0.6538339993339993,16,,Random,10,8.20159912109375e-05,True
Geometric_n100_r0.15,100,327,0.06606060606060606,6.54,15,0,2,0.6538339993339993,16,,Random,9,7.915496826171875e-05,True
Geometric_n100_r0.15,100,327,0.06606060606060606,6.54,15,0,2,0.6538339993339993,16,,Random,10,7.987022399902344e-05,True
Geometric_n100_r0.15,100,327,0.06606060606060606,6.54,15,0,2,0.6538339993339993,16,,Greedy Natural,10,8.893013000488281e-05,True
Geometric_n100_r0.15,100,327,0.06606060606060606,6.54,15,0,2,0.6538339993339993,16,,Largest Degree First,9,7.796287536621094e-05,True
Geometric_n100_r0.15,100,327,0.06606060606060606,6.54,15,0,2,0.6538339993339993,16,,Welsh-Powell,9,7.700920104980469e-05,True
Geometric_n100_r0.15,100,327,0.06606060606060606,6.54,15,0,2,0.6538339993339993,16,,DSATUR,8,0.007222890853881836,True
Geometric_n100_r0.15,100,327,0.06606060606060606,6.54,15,0,2,0.6538339993339993,16,,GNN-guided,9,0.0029048919677734375,True
PowerlawCluster_n100_m4_p0.3,100,383,0.07737373737373737,7.66,37,4,1,0.26198191892942196,38,,Random,7,0.00012445449829101562,True
PowerlawCluster_n100_m4_p0.3,100,383,0.07737373737373737,7.66,37,4,1,0.26198191892942196,38,,Random,7,0.000110626220703125,True
PowerlawCluster_n100_m4_p0.3,100,383,0.07737373737373737,7.66,37,4,1,0.26198191892942196,38,,Random,7,0.0001125335693359375,True
PowerlawCluster_n100_m4_p0.3,100,383,0.07737373737373737,7.66,37,4,1,0.26198191892942196,38,,Greedy Natural,5,0.00010824203491210938,True
PowerlawCluster_n100_m4_p0.3,100,383,0.07737373737373737,7.66,37,4,1,0.26198191892942196,38,,Largest Degree First,5,0.00036144256591796875,True
PowerlawCluster_n100_m4_p0.3,100,383,0.07737373737373737,7.66,37,4,1,0.26198191892942196,38,,Welsh-Powell,5,0.000225067138671875,True
PowerlawCluster_n100_m4_p0.3,100,383,0.07737373737373737,7.66,37,4,1,0.26198191892942196,38,,DSATUR,5,0.008337736129760742,True
PowerlawCluster_n100_m4_p0.3,100,383,0.07737373737373737,7.66,37,4,1,0.26198191892942196,38,,GNN-guided,5,0.0056002140045166016,True
Random_n100_p0.1,100,487,0.09838383838383838,9.74,16,5,1,0.09716600066600066,17,,Random,7,0.0001628398895263672,True
Random_n100_p0.1,100,487,0.09838383838383838,9.74,16,5,1,0.09716600066600066,17,,Random,7,0.00013828277587890625,True
Random_n100_p0.1,100,487,0.09838383838383838,9.74,16,5,1,0.09716600066600066,17,,Random,7,0.00011157989501953125,True
Random_n100_p0.1,100,487,0.09838383838383838,9.74,16,5,1,0.09716600066600066,17,,Greedy Natural,7,0.00011944770812988281,True
Random_n100_p0.1,100,487,0.09838383838383838,9.74,16,5,1,0.09716600066600066,17,,Largest Degree First,6,9.799003601074219e-05,True
